2026-07-22 11:48:23,071 | INFO     | Camera       | ============================================================
2026-07-22 11:48:23,071 | INFO     | Camera       | Logger initialized
2026-07-22 11:48:23,072 | INFO     | Camera       | Log file : logs\20260722_114823.log
2026-07-22 11:48:23,072 | INFO     | Camera       | ============================================================
2026-07-22 11:48:23,072 | INFO     | App          | ============================================================
2026-07-22 11:48:23,072 | INFO     | App          | Logger initialized
2026-07-22 11:48:23,072 | INFO     | App          | Log file : logs\20260722_114823.log
2026-07-22 11:48:23,072 | INFO     | App          | ============================================================
2026-07-22 11:48:23,072 | INFO     | Camera       | Opening webcam...
2026-07-22 11:48:24,837 | INFO     | Camera       | Camera opened.
2026-07-22 11:48:24,837 | INFO     | Camera       | Resolution : (1280, 720)
2026-07-22 11:48:24,837 | INFO     | App          | EyeTrax Prototype started.
