2026-07-22 16:03:30,874 | INFO     | Camera       | ============================================================
2026-07-22 16:03:30,874 | INFO     | Camera       | Logger initialized
2026-07-22 16:03:30,874 | INFO     | Camera       | Log file : logs\20260722_160330.log
2026-07-22 16:03:30,874 | INFO     | Camera       | ============================================================
2026-07-22 16:03:30,884 | INFO     | EyeTracker   | Loading EyeTrax...
2026-07-22 16:03:31,845 | INFO     | EyeTracker   | EyeTrax initialized.
2026-07-22 16:03:31,845 | INFO     | Camera       | Opening webcam...
2026-07-22 16:03:33,439 | INFO     | Camera       | Camera opened.
2026-07-22 16:03:33,439 | INFO     | Camera       | Resolution : (1280, 720)
2026-07-22 16:03:33,439 | INFO     | App          | EyeTrax Prototype started.
2026-07-22 16:03:36,529 | INFO     | App          | Screenshot saved: results\frame_1784711016.png
2026-07-22 16:03:38,058 | INFO     | App          | Application closed.
2026-07-22 16:03:38,064 | INFO     | EyeTracker   | EyeTrax released.
2026-07-22 16:03:38,495 | INFO     | Camera       | Camera released.
2026-07-22 16:03:38,528 | INFO     | App          | Application terminated.
