2026-07-22 16:09:30,739 | INFO     | Camera       | ============================================================
2026-07-22 16:09:30,739 | INFO     | Camera       | Logger initialized
2026-07-22 16:09:30,739 | INFO     | Camera       | Log file : logs\20260722_160930.log
2026-07-22 16:09:30,739 | INFO     | Camera       | ============================================================
2026-07-22 16:09:30,755 | INFO     | EyeTracker   | Loading EyeTrax...
2026-07-22 16:09:31,729 | INFO     | EyeTracker   | EyeTrax initialized.
2026-07-22 16:09:31,730 | INFO     | Camera       | Opening webcam...
2026-07-22 16:09:33,504 | INFO     | Camera       | Camera opened.
2026-07-22 16:09:33,504 | INFO     | Camera       | Resolution : (1280, 720)
2026-07-22 16:09:33,504 | INFO     | App          | EyeTrax Prototype started.
2026-07-22 16:10:36,327 | INFO     | App          | Application closed.
2026-07-22 16:10:36,331 | INFO     | EyeTracker   | EyeTrax released.
2026-07-22 16:10:36,758 | INFO     | Camera       | Camera released.
2026-07-22 16:10:36,807 | INFO     | App          | Application terminated.
